,state,never,rarely,sometimes,frequently,always,mask_negative,mask_positive,votesdem,percd,votesrep,percr,electoraldem,electoralrep,pop,blue,red,date,fips,cases,deaths,percent pop affected
2941,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-18,16,11,0,6.023568581066281e-06
2942,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-19,16,23,0,1.259473430586586e-05
2943,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-20,16,31,0,1.6975511455732247e-05
2944,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-21,16,42,0,2.2999080036798526e-05
2945,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-22,16,47,0,2.573706575546502e-05
2946,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-23,16,50,0,2.7379857186664914e-05
2947,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-24,16,73,0,3.997459149253078e-05
2948,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-25,16,123,0,6.735444867919569e-05
2949,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-26,16,189,3,0.00010513865159679327
2950,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-27,16,232,4,0.0001292329259210584
2951,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-28,16,262,5,0.00014620843737679065
2952,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-29,16,310,6,0.00017304069741972227
2953,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-30,16,415,7,0.00023108599465545188
2954,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-03-31,16,526,9,0.00029296447189731457
2955,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-04-01,16,669,9,0.0003712708634511762
2956,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-04-02,16,891,9,0.0004928374293599685
2957,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-04-03,16,1012,10,0.0005596442808954308
2958,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-04-04,16,1076,10,0.0005946904980943619
2959,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1,2020-04-05,16,1100,10,0.0006078328295439611
